
x_pi-dependence

  bins 		<x_N>	<x_pi>	<x_F>	<q_T>	<M>	  A	er_stat	er_tot	
0.00 0.40 	0.21	0.31	0.10	1.36	4.99	-0.329	0.112	0.137
0.40 0.56	0.16	0.48	0.31	1.23	5.35	0.004	0.128	0.157
0.56 1.00	0.13	0.69	0.56	1.12	5.68	-0.148	0.139	0.170
