0.48   -3.01601E-2-1.86467E-2 -4.16736E-2 1.05089E-2 2.74964E-2 -6.47853E-3
0.4894   -2.90794E-2-1.78164E-2 -4.03423E-2 1.03918E-2 2.70607E-2 -6.27697E-3
0.4988   -2.79805E-2-1.69771E-2 -3.89838E-2 1.02499E-2 2.65582E-2 -6.05848E-3
0.5082   -2.68681E-2-1.61325E-2 -3.76036E-2 1.0084E-2 2.5993E-2 -5.82497E-3
0.5176   -2.57467E-2-1.52866E-2 -3.62069E-2 9.89558E-3 2.53696E-2 -5.57847E-3
0.527   -2.46208E-2-1.44429E-2 -3.47988E-2 9.68581E-3 2.46927E-2 -5.32107E-3
0.5364   -2.34946E-2-1.36049E-2 -3.33843E-2 9.45616E-3 2.39673E-2 -5.05494E-3
0.5458   -2.2372E-2-1.27761E-2 -3.19679E-2 9.20814E-3 2.31986E-2 -4.78228E-3
0.5552   -2.12568E-2-1.19595E-2 -3.0554E-2 8.94336E-3 2.2392E-2 -4.50529E-3
0.5646   -2.01525E-2-1.11582E-2 -2.91468E-2 8.66346E-3 2.15531E-2 -4.22618E-3
0.574   -1.90626E-2-1.0375E-2 -2.77501E-2 8.37017E-3 2.06874E-2 -3.94709E-3
0.5834   -1.799E-2-9.61226E-3 -2.63678E-2 8.06523E-3 1.98006E-2 -3.67014E-3
0.5928   -1.69378E-2-8.87248E-3 -2.50032E-2 7.75041E-3 1.88982E-2 -3.39733E-3
0.6022   -1.59086E-2-8.15771E-3 -2.36595E-2 7.4275E-3 1.79856E-2 -3.13057E-3
0.6116   -1.49048E-2-7.46982E-3 -2.23398E-2 7.09827E-3 1.70682E-2 -2.87162E-3
0.621   -1.39286E-2-6.81045E-3 -2.10468E-2 6.76445E-3 1.6151E-2 -2.62213E-3
0.6304   -1.2982E-2-6.18098E-3 -1.9783E-2 6.42777E-3 1.52391E-2 -2.38355E-3
0.6398   -1.20668E-2-5.58257E-3 -1.85509E-2 6.08991E-3 1.4337E-2 -2.15715E-3
0.6492   -1.11843E-2-5.01612E-3 -1.73525E-2 5.75247E-3 1.3449E-2 -1.94403E-3
0.6586   -1.03361E-2-4.48232E-3 -1.61898E-2 5.41701E-3 1.25791E-2 -1.74505E-3
0.668   -9.523E-3-3.9816E-3 -1.50644E-2 5.085E-3 1.17309E-2 -1.56087E-3
0.6774   -8.74604E-3-3.51416E-3 -1.39779E-2 4.75782E-3 1.09076E-2 -1.39191E-3
0.6868   -8.00582E-3-3.08001E-3 -1.29316E-2 4.43678E-3 1.01119E-2 -1.23837E-3
0.6962   -7.30281E-3-2.67891E-3 -1.19267E-2 4.12305E-3 9.34631E-3 -1.10021E-3
0.7056   -6.63727E-3-2.31045E-3 -1.09641E-2 3.81774E-3 8.61266E-3 -9.77177E-4
0.715   -6.00927E-3-1.97401E-3 -1.00445E-2 3.52184E-3 7.91246E-3 -8.68778E-4
0.7244   -5.41871E-3-1.66879E-3 -9.16864E-3 3.23622E-3 7.24676E-3 -7.74319E-4
0.7338   -4.86533E-3-1.39384E-3 -8.33684E-3 2.96164E-3 6.6162E-3 -6.92912E-4
0.7432   -4.34869E-3-1.14803E-3 -7.54937E-3 2.69876E-3 6.02101E-3 -6.23485E-4
0.7526   -3.86821E-3-9.30134E-4 -6.80632E-3 2.44812E-3 5.46106E-3 -5.64819E-4
0.762   -3.42317E-3-7.38758E-4 -6.10761E-3 2.21016E-3 4.93588E-3 -5.15571E-4
0.7714   -3.0127E-3-5.72422E-4 -5.45301E-3 1.98521E-3 4.44472E-3 -4.7432E-4
0.7808   -2.63583E-3-4.29561E-4 -4.84211E-3 1.77349E-3 3.98657E-3 -4.39608E-4
0.7902   -2.29145E-3-3.08529E-4 -4.2744E-3 1.57514E-3 3.56024E-3 -4.09972E-4
0.7996   -1.97838E-3-2.07629E-4 -3.74917E-3 1.3902E-3 3.16442E-3 -3.84018E-4
0.809   -1.69533E-3-1.25118E-4 -3.26558E-3 1.21863E-3 2.79772E-3 -3.60465E-4
0.8184   -1.44094E-3-5.92287E-5 -2.82269E-3 1.06031E-3 2.45877E-3 -3.38178E-4
0.8278   -1.21377E-3-8.20102E-6 -2.41937E-3 9.15028E-4 2.14626E-3 -3.1623E-4
0.8372   -1.01232E-32.97261E-5 -2.05439E-3 7.8253E-4 1.85896E-3 -2.93917E-4
0.8466   -8.35049E-45.62761E-5 -1.72639E-3 6.62489E-4 1.59577E-3 -2.70796E-4
0.856   -6.80375E-47.3124E-5 -1.43389E-3 5.54531E-4 1.35573E-3 -2.46663E-4
0.8654   -5.4669E-48.18953E-5 -1.1753E-3 4.58233E-4 1.13801E-3 -2.2155E-4
0.8748   -4.32377E-48.41351E-5 -9.48915E-4 3.73115E-4 9.41932E-4 -1.95699E-4
0.8842   -3.358E-48.12914E-5 -7.52919E-4 2.98667E-4 7.66864E-4 -1.69517E-4
0.8936   -2.55336E-47.47098E-5 -5.8541E-4 2.34346E-4 6.12241E-4 -1.43532E-4
0.903   -1.89372E-46.56214E-5 -4.44387E-4 1.79563E-4 4.77485E-4 -1.18335E-4
0.9124   -1.36315E-45.51234E-5 -3.27766E-4 1.33703E-4 3.61967E-4 -9.45392E-5
0.9218   -9.4604E-54.41617E-5 -2.33379E-4 9.61051E-5 2.64958E-4 -7.27308E-5
0.9312   -6.27257E-53.3536E-5 -1.58997E-4 6.60764E-5 1.85589E-4 -5.34184E-5
0.9406   -3.92145E-52.38898E-5 -1.02323E-4 4.28835E-5 1.22782E-4 -3.69905E-5
