0.019899 -0.004224 -0.003406 -0.002588 
0.029798 -0.006839 -0.006003 -0.005168 
0.039697 -0.009563 -0.008791 -0.008019 
0.049596 -0.012424 -0.011591 -0.010758 
0.059495 -0.015359 -0.014278 -0.013198 
0.069394 -0.018176 -0.016765 -0.015354 
0.079293 -0.020725 -0.018994 -0.017262 
0.089192 -0.022928 -0.020929 -0.018930 
0.099091 -0.024753 -0.022556 -0.020358 
0.108990 -0.026199 -0.023870 -0.021540 
0.118889 -0.027288 -0.024879 -0.022469 
0.128788 -0.028057 -0.025597 -0.023138 
0.138687 -0.028551 -0.026045 -0.023539 
0.148586 -0.028820 -0.026246 -0.023671 
0.158485 -0.028908 -0.026223 -0.023539 
0.168384 -0.028849 -0.026004 -0.023159 
0.178283 -0.028665 -0.025613 -0.022560 
0.188182 -0.028373 -0.025075 -0.021777 
0.198081 -0.027980 -0.024414 -0.020847 
0.207980 -0.027496 -0.023651 -0.019807 
0.217879 -0.026926 -0.022808 -0.018690 
0.227778 -0.026279 -0.021902 -0.017525 
0.237677 -0.025563 -0.020950 -0.016337 
0.247576 -0.024788 -0.019967 -0.015147 
0.257475 -0.023962 -0.018966 -0.013970 
0.267374 -0.023095 -0.017959 -0.012822 
0.277273 -0.022196 -0.016954 -0.011712 
0.287172 -0.021273 -0.015961 -0.010648 
0.297071 -0.020334 -0.014985 -0.009637 
0.306970 -0.019386 -0.014034 -0.008682 
0.316869 -0.018437 -0.013111 -0.007786 
0.326768 -0.017491 -0.012221 -0.006950 
0.336667 -0.016556 -0.011365 -0.006174 
0.346566 -0.015634 -0.010546 -0.005458 
0.356465 -0.014731 -0.009765 -0.004799 
0.366364 -0.013850 -0.009024 -0.004198 
0.376263 -0.012994 -0.008322 -0.003650 
0.386162 -0.012166 -0.007659 -0.003153 
0.396061 -0.011367 -0.007036 -0.002705 
0.405960 -0.010599 -0.006450 -0.002302 
0.415859 -0.009863 -0.005902 -0.001941 
0.425758 -0.009160 -0.005390 -0.001621 
0.435657 -0.008490 -0.004913 -0.001336 
0.445556 -0.007853 -0.004469 -0.001086 
0.455455 -0.007250 -0.004058 -0.000866 
0.465354 -0.006681 -0.003677 -0.000674 
0.475253 -0.006143 -0.003326 -0.000508 
0.485152 -0.005638 -0.003001 -0.000365 
0.495051 -0.005164 -0.002703 -0.000243 
0.504949 -0.004720 -0.002430 -0.000139 
0.514848 -0.004305 -0.002179 -0.000052 
0.524747 -0.003919 -0.001950 0.000020 
0.534646 -0.003560 -0.001741 0.000078 
0.544545 -0.003226 -0.001551 0.000125 
0.554444 -0.002918 -0.001378 0.000162 
0.564343 -0.002633 -0.001221 0.000190 
0.574242 -0.002370 -0.001080 0.000211 
0.584141 -0.002129 -0.000952 0.000225 
0.594040 -0.001907 -0.000837 0.000233 
0.603939 -0.001704 -0.000734 0.000236 
0.613838 -0.001519 -0.000642 0.000236 
0.623737 -0.001350 -0.000559 0.000232 
0.633636 -0.001196 -0.000486 0.000225 
0.643535 -0.001057 -0.000420 0.000217 
0.653434 -0.000931 -0.000362 0.000206 
0.663333 -0.000818 -0.000311 0.000195 
0.673232 -0.000716 -0.000267 0.000183 
0.683131 -0.000624 -0.000227 0.000170 
0.693030 -0.000542 -0.000193 0.000157 
0.702929 -0.000469 -0.000163 0.000143 
0.712828 -0.000404 -0.000137 0.000130 
0.722727 -0.000346 -0.000114 0.000118 
0.732626 -0.000295 -0.000095 0.000105 
0.742525 -0.000251 -0.000079 0.000094 
0.752424 -0.000212 -0.000064 0.000083 
0.762323 -0.000177 -0.000053 0.000072 
0.772222 -0.000148 -0.000043 0.000063 
0.782121 -0.000122 -0.000034 0.000054 
0.792020 -0.000100 -0.000027 0.000046 
0.801919 -0.000081 -0.000021 0.000039 
0.811818 -0.000066 -0.000017 0.000032 
0.821717 -0.000052 -0.000013 0.000026 
0.831616 -0.000041 -0.000010 0.000021 
0.841515 -0.000032 -0.000007 0.000017 
0.851414 -0.000024 -0.000005 0.000013 
0.861313 -0.000018 -0.000004 0.000010 
0.871212 -0.000013 -0.000003 0.000008 
0.881111 -0.000010 -0.000002 0.000006 
0.891010 -0.000007 -0.000001 0.000004 
0.900909 -0.000005 -0.000001 0.000003 
0.910808 -0.000003 -0.000001 0.000002 
0.920707 -0.000002 -0.000000 0.000001 
0.930606 -0.000001 -0.000000 0.000001 
0.940505 -0.000001 -0.000000 0.000000 
0.950404 -0.000000 -0.000000 0.000000 
0.960303 -0.000000 -0.000000 0.000000 
0.970202 -0.000000 -0.000000 0.000000 
0.980101 -0.000000 -0.000000 0.000000 
0.990000 -0.000000 -0.000000 0.000000 
